county,positive,fatalities
Anderson,41,0
Andrews,21,0
Angelina,100,0
Aransas,2,0
Archer,0,0
Armstrong,2,0
Atascosa,24,1
Austin,15,0
Bailey,3,0
Bandera,6,0
Bastrop,110,2
Baylor,0,0
Bee,6,0
Bell,220,3
Bexar,1901,56
Blanco,6,0
Borden,0,0
Bosque,5,0
Bowie,76,2
Brazoria,661,9
Brazos,271,18
Brewster,1,0
Briscoe,1,0
Brooks,1,0
Brown,38,6
Burleson,15,0
Burnet,26,0
Caldwell,30,0
Calhoun,36,3
Callahan,6,1
Cameron,512,22
Camp,7,0
Carson,3,0
Cass,20,0
Castro,23,1
Chambers,50,0
Cherokee,18,1
Childress,2,0
Clay,3,0
Cochran,1,0
Coke,1,0
Coleman,2,0
Collin,918,28
Collingsworth,4,0
Colorado,16,0
Comal,65,6
Comanche,3,1
Concho,1,0
Cooke,12,0
Coryell,208,2
Cottle,4,1
Crane,2,0
Crockett,0,0
Crosby,2,1
Culberson,0,0
Dallam,14,0
Dallas,5870,143
Dawson,30,1
DeWitt,15,1
Deaf Smith,59,0
Delta,1,0
Denton,922,25
Dickens,1,0
Dimmit,1,0
Donley,26,0
Duval,5,0
Eastland,3,0
Ector,99,4
Edwards,0,0
El Paso,1340,33
Ellis,211,11
Erath,14,1
Falls,6,0
Fannin,23,1
Fayette,25,1
Fisher,0,0
Floyd,4,0
Foard,0,0
Fort Bend,1385,38
Franklin,3,0
Freestone,7,0
Frio,34,0
Gaines,3,0
Galveston,685,29
Garza,3,0
Gillespie,4,0
Glasscock,1,0
Goliad,7,0
Gonzales,59,2
Gray,75,0
Grayson,91,0
Gregg,118,0
Grimes,42,1
Guadalupe,97,0
Hale,37,4
Hall,0,0
Hamilton,7,0
Hansford,12,2
Hardeman,0,0
Hardin,115,3
Harris,7878,172
Harrison,186,9
Hartley,8,2
Haskell,0,0
Hays,203,2
Hemphill,1,0
Henderson,41,0
Hidalgo,389,8
Hill,19,1
Hockley,20,1
Hood,19,3
Hopkins,8,0
Houston,13,0
Howard,6,1
Hudspeth,0,0
Hunt,57,3
Hutchinson,21,0
Irion,0,0
Jack,4,0
Jackson,14,0
Jasper,19,1
Jeff Davis,0,0
Jefferson,381,25
Jim Hogg,3,0
Jim Wells,7,0
Johnson,103,4
Jones,95,0
Karnes,3,0
Kaufman,120,1
Kendall,19,0
Kenedy,0,0
Kent,0,0
Kerr,9,0
Kimble,1,0
King,0,0
Kinney,0,0
Kleberg,11,1
Knox,1,0
La Salle,2,0
Lamar,89,4
Lamb,7,0
Lampasas,8,0
Lavaca,6,1
Lee,5,0
Leon,9,0
Liberty,66,1
Limestone,15,1
Lipscomb,2,0
Live Oak,5,0
Llano,3,0
Loving,0,0
Lubbock,592,49
Lynn,5,1
Madison,3,0
Marion,15,0
Martin,3,1
Mason,28,0
Matagorda,62,3
Maverick,26,0
McCulloch,3,0
McLennan,94,4
McMullen,0,0
Medina,32,2
Menard,0,0
Midland,101,11
Milam,20,1
Mills,0,0
Mitchell,1,0
Montague,9,1
Montgomery,699,16
Moore,526,9
Morris,9,0
Motley,1,0
Nacogdoches,211,9
Navarro,36,2
Newton,4,0
Nolan,2,0
Nueces,132,3
Ochiltree,29,1
Oldham,3,1
Orange,85,2
Palo Pinto,9,2
Panola,144,8
Parker,45,0
Parmer,19,0
Pecos,15,0
Polk,35,0
Potter,1124,15
Presidio,0,0
Rains,2,0
Randall,358,3
Reagan,0,0
Real,0,0
Red River,9,0
Reeves,1,0
Refugio,1,0
Roberts,2,0
Robertson,5,0
Rockwall,104,5
Runnels,2,0
Rusk,40,1
Sabine,2,0
San Augustine,21,1
San Jacinto,11,0
San Patricio,22,0
San Saba,0,0
Schleicher,0,0
Scurry,2,0
Shackelford,1,0
Shelby,152,5
Sherman,23,0
Smith,174,3
Somervell,0,0
Starr,14,0
Stephens,1,0
Sterling,0,0
Stonewall,0,0
Sutton,0,0
Swisher,12,0
Tarrant,3695,103
Taylor,208,6
Terrell,0,0
Terry,12,0
Throckmorton,0,0
Titus,35,0
Tom Green,59,1
Travis,2127,60
Trinity,11,0
Tyler,7,0
Upshur,17,0
Upton,0,0
Uvalde,6,0
Val Verde,13,0
Van Zandt,18,1
Victoria,150,5
Walker,342,2
Waller,37,0
Ward,0,0
Washington,164,18
Webb,435,17
Wharton,41,0
Wheeler,14,0
Wichita,75,2
Wilbarger,2,0
Willacy,14,1
Williamson,377,13
Wilson,36,4
Winkler,3,0
Wise,30,2
Wood,14,0
Yoakum,2,0
Young,4,1
Zapata,7,0
Zavala,2,0
Total,39869,1100
