county,cases,fatalities
Anderson,2403,14
Andrews,304,7
Angelina,1796,45
Aransas,177,15
Archer,21,0
Armstrong,8,0
Atascosa,437,18
Austin,249,4
Bailey,171,4
Bandera,91,3
Bastrop,1365,21
Baylor,11,0
Bee,1207,11
Bell,3831,38
Bexar,35205,784
Blanco,98,5
Borden,0,0
Bosque,162,2
Bowie,764,32
Brazoria,7481,93
Brazos,4055,46
Brewster,188,2
Briscoe,12,1
Brooks,113,3
Brown,391,16
Burleson,242,6
Burnet,563,9
Caldwell,1149,26
Calhoun,544,5
Callahan,46,3
Cameron,16590,430
Camp,233,6
Carson,15,0
Cass,176,8
Castro,200,4
Chambers,951,3
Cherokee,1119,7
Childress,40,0
Clay,40,1
Cochran,32,0
Coke,42,2
Coleman,19,0
Collin,7654,82
Collingsworth,11,0
Colorado,296,2
Comal,1839,70
Comanche,142,3
Concho,28,0
Cooke,223,3
Coryell,669,5
Cottle,18,2
Crane,70,2
Crockett,155,3
Crosby,63,1
Culberson,17,2
Dallam,190,5
Dallas,54674,738
Dawson,145,4
DeWitt,693,19
Deaf Smith,667,17
Delta,16,0
Denton,7644,88
Dickens,5,1
Dimmit,150,3
Donley,48,0
Duval,177,6
Eastland,73,1
Ector,2412,45
Edwards,28,0
El Paso,16396,285
Ellis,2855,42
Erath,527,5
Falls,128,3
Fannin,246,8
Fayette,311,14
Fisher,28,1
Floyd,89,6
Foard,2,0
Fort Bend,9533,162
Franklin,92,2
Freestone,157,0
Frio,512,5
Gaines,161,3
Galveston,9376,113
Garza,99,3
Gillespie,175,6
Glasscock,6,0
Goliad,89,4
Gonzales,683,9
Gray,215,2
Grayson,1139,13
Gregg,1416,27
Grimes,880,23
Guadalupe,1679,55
Hale,1285,26
Hall,11,1
Hamilton,83,3
Hansford,73,2
Hardeman,18,0
Hardin,973,15
Harris,85757,1583
Harrison,693,23
Hartley,85,0
Haskell,42,0
Hays,5012,39
Hemphill,42,0
Henderson,641,12
Hidalgo,19741,640
Hill,328,7
Hockley,206,4
Hood,528,10
Hopkins,201,2
Houston,314,7
Howard,173,6
Hudspeth,24,2
Hunt,1182,21
Hutchinson,126,3
Irion,9,0
Jack,59,0
Jackson,406,7
Jasper,304,11
Jeff Davis,8,0
Jefferson,5880,84
Jim Hogg,62,1
Jim Wells,724,15
Johnson,1861,30
Jones,596,0
Karnes,639,6
Kaufman,2158,25
Kendall,158,4
Kenedy,6,1
Kent,3,0
Kerr,398,6
Kimble,14,1
King,0,0
Kinney,19,0
Kleberg,442,8
Knox,60,1
La Salle,361,2
Lamar,647,18
Lamb,226,11
Lampasas,104,3
Lavaca,627,17
Lee,173,10
Leon,144,2
Liberty,987,34
Limestone,241,3
Lipscomb,18,0
Live Oak,230,2
Llano,89,1
Loving,0,0
Lubbock,6059,73
Lynn,67,4
Madison,668,2
Marion,133,8
Martin,55,5
Mason,53,0
Matagorda,752,27
Maverick,2321,43
McCulloch,48,1
McLennan,4970,55
McMullen,9,0
Medina,878,26
Menard,17,0
Midland,2592,33
Milam,346,3
Mills,22,0
Mitchell,61,1
Montague,70,1
Montgomery,6577,85
Moore,1050,13
Morris,117,3
Motley,6,0
Nacogdoches,1148,42
Navarro,856,8
Newton,93,4
Nolan,134,3
Nueces,11226,142
Ochiltree,95,2
Oldham,14,1
Orange,1477,20
Palo Pinto,265,7
Panola,292,18
Parker,1225,19
Parmer,340,7
Pecos,244,1
Polk,748,12
Potter,3661,40
Presidio,46,2
Rains,51,1
Randall,1725,21
Reagan,63,3
Real,87,1
Red River,136,11
Reeves,146,5
Refugio,226,4
Roberts,6,0
Robertson,234,2
Rockwall,896,13
Runnels,124,1
Rusk,370,2
Sabine,51,6
San Augustine,162,11
San Jacinto,177,8
San Patricio,935,26
San Saba,24,0
Schleicher,36,1
Scurry,481,1
Shackelford,18,0
Shelby,401,18
Sherman,40,0
Smith,2524,23
Somervell,74,0
Starr,2213,68
Stephens,42,3
Sterling,0,0
Stonewall,5,0
Sutton,62,1
Swisher,80,2
Tarrant,32177,449
Taylor,1130,23
Terrell,2,0
Terry,143,2
Throckmorton,4,2
Titus,1212,15
Tom Green,1740,26
Travis,22724,265
Trinity,156,4
Tyler,116,2
Upshur,226,2
Upton,16,1
Uvalde,551,10
Val Verde,1332,32
Van Zandt,375,3
Victoria,3448,42
Walker,3051,41
Waller,454,5
Ward,89,1
Washington,515,39
Webb,7888,96
Wharton,761,25
Wheeler,33,0
Wichita,1001,11
Wilbarger,69,1
Willacy,699,30
Williamson,6245,93
Wilson,439,19
Winkler,84,1
Wise,409,7
Wood,316,7
Yoakum,102,3
Young,169,5
Zapata,174,2
Zavala,210,5
Unknown,0,2
Total,490817,8490
Probable cases are not included in the total case numbers,NA,NA
