county,cases,fatalities
Anderson,2502,18
Andrews,362,8
Angelina,2002,66
Aransas,210,18
Archer,49,0
Armstrong,11,0
Atascosa,568,27
Austin,417,6
Bailey,202,4
Bandera,109,3
Bastrop,1580,27
Baylor,16,0
Bee,1591,22
Bell,4768,64
Bexar,37814,1086
Blanco,124,5
Borden,0,0
Bosque,216,5
Bowie,970,44
Brazoria,9309,138
Brazos,4663,55
Brewster,191,2
Briscoe,12,1
Brooks,215,16
Brown,470,20
Burleson,287,6
Burnet,665,12
Caldwell,1225,32
Calhoun,603,7
Callahan,88,3
Cameron,20853,752
Camp,296,8
Carson,17,0
Cass,257,11
Castro,227,4
Chambers,1123,5
Cherokee,1408,16
Childress,57,0
Clay,63,1
Cochran,37,1
Coke,49,3
Coleman,52,2
Collin,10946,111
Collingsworth,16,0
Colorado,444,3
Comal,2353,95
Comanche,214,3
Concho,53,1
Cooke,318,4
Coryell,868,10
Cottle,18,2
Crane,70,2
Crockett,162,6
Crosby,81,1
Culberson,23,2
Dallam,208,7
Dallas,70810,947
Dawson,207,8
DeWitt,844,25
Deaf Smith,801,20
Delta,17,0
Denton,9994,131
Dickens,27,1
Dimmit,180,6
Donley,55,1
Duval,257,10
Eastland,130,2
Ector,2810,67
Edwards,34,1
El Paso,20350,428
Ellis,3758,56
Erath,667,9
Falls,166,3
Fannin,585,12
Fayette,368,16
Fisher,58,1
Floyd,100,7
Foard,3,0
Fort Bend,14933,234
Franklin,111,4
Freestone,384,1
Frio,633,7
Gaines,247,7
Galveston,10543,140
Garza,102,3
Gillespie,198,6
Glasscock,6,0
Goliad,121,6
Gonzales,813,13
Gray,242,4
Grayson,1474,25
Gregg,1880,47
Grimes,970,30
Guadalupe,1899,72
Hale,1606,44
Hall,16,1
Hamilton,101,3
Hansford,102,3
Hardeman,22,0
Hardin,1254,19
Harris,104649,2188
Harrison,796,28
Hartley,101,0
Haskell,54,2
Hays,5361,56
Hemphill,55,0
Henderson,815,16
Hidalgo,27252,1127
Hill,369,8
Hockley,262,5
Hood,767,22
Hopkins,244,7
Houston,538,9
Howard,280,8
Hudspeth,38,2
Hunt,1415,29
Hutchinson,147,3
Irion,10,0
Jack,121,0
Jackson,501,14
Jasper,393,18
Jeff Davis,8,0
Jefferson,6615,107
Jim Hogg,77,2
Jim Wells,1034,24
Johnson,2500,44
Jones,598,0
Karnes,740,12
Kaufman,2757,37
Kendall,197,5
Kenedy,7,1
Kent,7,0
Kerr,435,9
Kimble,16,1
King,0,0
Kinney,22,1
Kleberg,632,26
Knox,67,8
La Salle,365,4
Lamar,791,26
Lamb,278,19
Lampasas,154,6
Lavaca,682,30
Lee,197,14
Leon,188,4
Liberty,1826,43
Limestone,457,7
Lipscomb,25,0
Live Oak,330,6
Llano,101,1
Loving,0,0
Lubbock,7344,93
Lynn,79,4
Madison,830,5
Marion,140,10
Martin,71,5
Mason,73,1
Matagorda,913,38
Maverick,3258,82
McCulloch,109,1
McLennan,6228,81
McMullen,15,0
Medina,1111,35
Menard,20,0
Midland,3239,49
Milam,425,5
Mills,34,0
Mitchell,73,1
Montague,122,3
Montgomery,8580,120
Moore,1118,18
Morris,156,3
Motley,6,0
Nacogdoches,1338,48
Navarro,1074,17
Newton,162,6
Nolan,150,4
Nueces,14956,269
Ochiltree,109,3
Oldham,15,1
Orange,1782,35
Palo Pinto,423,11
Panola,313,21
Parker,1645,25
Parmer,385,7
Pecos,296,3
Polk,778,18
Potter,4034,49
Presidio,50,5
Rains,59,3
Randall,2168,29
Reagan,83,6
Real,104,5
Red River,145,14
Reeves,169,5
Refugio,266,10
Roberts,8,0
Robertson,248,4
Rockwall,1316,21
Runnels,191,3
Rusk,720,4
Sabine,72,6
San Augustine,188,12
San Jacinto,202,8
San Patricio,1257,59
San Saba,38,0
Schleicher,38,2
Scurry,546,2
Shackelford,23,0
Shelby,436,19
Sherman,53,0
Smith,3207,58
Somervell,118,4
Starr,2782,134
Stephens,110,3
Sterling,2,0
Stonewall,10,1
Sutton,76,2
Swisher,93,3
Tarrant,39048,610
Taylor,1317,34
Terrell,3,0
Terry,199,3
Throckmorton,4,2
Titus,1355,24
Tom Green,2031,52
Travis,26316,356
Trinity,178,6
Tyler,175,3
Upshur,327,6
Upton,19,1
Uvalde,689,18
Val Verde,1912,75
Van Zandt,516,18
Victoria,3768,75
Walker,3647,48
Waller,668,8
Ward,106,1
Washington,564,45
Webb,10733,180
Wharton,1198,43
Wheeler,42,0
Wichita,1295,14
Wilbarger,103,2
Willacy,864,42
Williamson,7893,123
Wilson,539,25
Winkler,93,1
Wise,646,12
Wood,398,15
Yoakum,145,4
Young,244,6
Zapata,272,4
Zavala,261,10
Unknown,0,7
Total,610354,12510
Probable cases are not included in the total case numbers,NA,NA
